,object detected,requestid,model,resolution,contrast,sharpness,brightness,saturation,noise,blur,image id,correctly detect,true class
688,"[['person', 0.7372179627418518], ['bicycle', 0.559653103351593], ['car', 0.49050015211105347], ['car', 0.31298813223838806], ['car', 0.2500188648700714]]",d9c51d60-1930-44a0-9e28-cb77771d2182,yolov5n,"[600, 379]",2657.77,2657.77,199.65,33.58,65.54309586631486,2657.773276631768,9549882142_c59c04bac0_z_degraded.jpg,1,car
689,"[['car', 0.8401514291763306], ['person', 0.8211449384689331], ['car', 0.6650354862213135], ['car', 0.5960085988044739], ['tie', 0.5529159903526306], ['bicycle', 0.5458056330680847], ['bicycle', 0.3799646198749542]]",d9c51d60-1930-44a0-9e28-cb77771d2182,yolov8n,"[600, 379]",2657.77,2657.77,199.65,33.58,65.54309586631486,2657.773276631768,9549882142_c59c04bac0_z_degraded.jpg,1,car
690,"[['cat', 0.7124754190444946]]",6654655b-db91-41be-b22b-f242f1305b5b,yolov5n,"[640, 478]",656.63,656.63,135.5,96.58,10.412853033472803,656.6316033795785,3703720579_4a2cf4af15_z_degraded.jpg,1,cat
691,"[['cat', 0.9277601838111877]]",6654655b-db91-41be-b22b-f242f1305b5b,yolov8n,"[640, 478]",656.63,656.63,135.5,96.58,10.412853033472803,656.6316033795785,3703720579_4a2cf4af15_z_degraded.jpg,1,cat
692,"[['clock', 0.36829155683517456], ['truck', 0.3546634614467621]]",c56ab141-f944-4bee-8c6c-b9385f5fc959,yolov5n,"[640, 480]",10895.85,10895.85,166.99,80.75,48.74609375,10895.849058325026,7782123174_dbda292cef_z_degraded.jpg,0,car
693,"[['car', 0.7688676118850708], ['truck', 0.5123318433761597]]",c56ab141-f944-4bee-8c6c-b9385f5fc959,yolov8n,"[640, 480]",10895.85,10895.85,166.99,80.75,48.74609375,10895.849058325026,7782123174_dbda292cef_z_degraded.jpg,1,car
694,[],93993394-7758-46ad-b893-57ffbffc57da,yolov5n,"[640, 480]",170.97,170.97,173.34,32.17,58.263020833333336,170.9740281269921,3607850542_a3577913d7_z_degraded.jpg,0,cat
695,[],93993394-7758-46ad-b893-57ffbffc57da,yolov8n,"[640, 480]",170.97,170.97,173.34,32.17,58.263020833333336,170.9740281269921,3607850542_a3577913d7_z_degraded.jpg,0,cat
696,"[['motorcycle', 0.25323486328125]]",ed69d116-3862-4052-acf5-9b218e25d7d8,yolov5n,"[640, 427]",8192.8,8192.8,149.03,54.53,39.767637587822016,8192.79527893472,2918687630_5108e3e2ab_z_degraded.jpg,0,car
697,"[['bench', 0.4702806770801544], ['bench', 0.3540617525577545], ['motorcycle', 0.34124863147735596]]",ed69d116-3862-4052-acf5-9b218e25d7d8,yolov8n,"[640, 427]",8192.8,8192.8,149.03,54.53,39.767637587822016,8192.79527893472,2918687630_5108e3e2ab_z_degraded.jpg,0,car
698,"[['cat', 0.7124754190444946]]",56f51774-051d-45cf-a98e-8e508d5980aa,yolov5n,"[640, 478]",656.63,656.63,135.5,96.58,10.412853033472803,656.6316033795785,3703720579_4a2cf4af15_z_degraded.jpg,1,cat
699,"[['cat', 0.9277601838111877]]",56f51774-051d-45cf-a98e-8e508d5980aa,yolov8n,"[640, 478]",656.63,656.63,135.5,96.58,10.412853033472803,656.6316033795785,3703720579_4a2cf4af15_z_degraded.jpg,1,cat
700,"[['motorcycle', 0.43266698718070984]]",b4fde439-d1fc-45b2-b7f3-31237e9824a8,yolov5n,"[640, 428]",3988.61,3988.61,171.01,71.25,52.22984813084112,3988.6093675857915,5763085728_cd042a4cb0_z_degraded.jpg,0,car
701,"[['car', 0.7522945404052734]]",b4fde439-d1fc-45b2-b7f3-31237e9824a8,yolov8n,"[640, 428]",3988.61,3988.61,171.01,71.25,52.22984813084112,3988.6093675857915,5763085728_cd042a4cb0_z_degraded.jpg,1,car
702,"[['elephant', 0.379029244184494]]",a8be70df-6dc3-4727-b511-c7629d485ae5,yolov5n,"[640, 426]",2655.24,2655.24,168.74,102.47,34.9787265258216,2655.2414494719155,3812603979_2102c37672_z_degraded.jpg,0,dog
703,"[['elephant', 0.7072307467460632], ['elephant', 0.5652706027030945]]",a8be70df-6dc3-4727-b511-c7629d485ae5,yolov8n,"[640, 426]",2655.24,2655.24,168.74,102.47,34.9787265258216,2655.2414494719155,3812603979_2102c37672_z_degraded.jpg,0,dog
704,"[['person', 0.8141934871673584]]",690840f5-bbb3-4644-8135-9a8c29930218,yolov5n,"[640, 425]",1411.15,1411.15,181.26,99.53,34.18051470588235,1411.146558608942,9755183855_953c4f062c_z_degraded.jpg,0,bicycle
705,"[['person', 0.9142776131629944]]",690840f5-bbb3-4644-8135-9a8c29930218,yolov8n,"[640, 425]",1411.15,1411.15,181.26,99.53,34.18051470588235,1411.146558608942,9755183855_953c4f062c_z_degraded.jpg,0,bicycle
706,[],b2cd1d8c-c77d-41b5-b582-758d4b7a9527,yolov5n,"[640, 400]",1068.31,1068.31,168.15,39.78,42.80703125,1068.3065894181975,14628257582_1ff5e98e4c_z_degraded.jpg,0,bicycle
707,[],b2cd1d8c-c77d-41b5-b582-758d4b7a9527,yolov8n,"[640, 400]",1068.31,1068.31,168.15,39.78,42.80703125,1068.3065894181975,14628257582_1ff5e98e4c_z_degraded.jpg,0,bicycle
708,"[['elephant', 0.35636308789253235]]",550ab17a-19bc-4673-ada7-6607aafbdb9c,yolov5n,"[640, 427]",799.79,799.79,200.28,50.76,47.33240632318502,799.7874268801178,3283350420_d2b4b8fef3_z_degraded.jpg,0,cat
709,"[['elephant', 0.5365405678749084], ['bear', 0.5308985114097595]]",550ab17a-19bc-4673-ada7-6607aafbdb9c,yolov8n,"[640, 427]",799.79,799.79,200.28,50.76,47.33240632318502,799.7874268801178,3283350420_d2b4b8fef3_z_degraded.jpg,0,cat
710,"[['car', 0.8452229499816895], ['car', 0.4925706088542938]]",9b127fa1-3cd6-4a26-968e-6b1ec8e3faac,yolov5n,"[640, 426]",1462.86,1462.86,196.27,57.38,56.537191901408455,1462.8587573219052,15490190390_d64fe16141_z_degraded.jpg,1,car
711,"[['car', 0.8920717835426331], ['car', 0.7894171476364136], ['person', 0.3082384467124939]]",9b127fa1-3cd6-4a26-968e-6b1ec8e3faac,yolov8n,"[640, 426]",1462.86,1462.86,196.27,57.38,56.537191901408455,1462.8587573219052,15490190390_d64fe16141_z_degraded.jpg,1,car
712,[],b5a895b6-c3ce-4c09-b426-872c9d23c1a8,yolov5n,"[640, 426]",2398.94,2398.94,162.8,78.88,31.146933685446008,2398.9396387776555,15071673457_0703cea442_z_degraded.jpg,0,person
713,"[['person', 0.6598086357116699]]",b5a895b6-c3ce-4c09-b426-872c9d23c1a8,yolov8n,"[640, 426]",2398.94,2398.94,162.8,78.88,31.146933685446008,2398.9396387776555,15071673457_0703cea442_z_degraded.jpg,1,person
714,"[['cat', 0.39481717348098755]]",d9272eb2-91d6-4341-aa2b-76e4419a25cf,yolov5n,"[640, 426]",889.17,889.17,128.37,87.78,13.200190727699528,889.1679058585916,2206074222_69cc088500_z_degraded.jpg,1,cat
715,"[['cat', 0.9036920070648193]]",d9272eb2-91d6-4341-aa2b-76e4419a25cf,yolov8n,"[640, 426]",889.17,889.17,128.37,87.78,13.200190727699528,889.1679058585916,2206074222_69cc088500_z_degraded.jpg,1,cat
716,[],a9f161d4-7043-45ad-a17f-e4a934f0a3b6,yolov5n,"[640, 444]",2167.07,2167.07,70.33,79.8,43.72360641891892,2167.071582738199,6410065163_fef2877544_z_degraded.jpg,0,car
717,"[['bus', 0.6602648496627808]]",a9f161d4-7043-45ad-a17f-e4a934f0a3b6,yolov8n,"[640, 444]",2167.07,2167.07,70.33,79.8,43.72360641891892,2167.071582738199,6410065163_fef2877544_z_degraded.jpg,0,car
718,[],d400bb9a-b6f2-42ea-bee5-4a56bead18ad,yolov5n,"[640, 427]",7241.06,7241.06,147.37,70.29,15.602678571428571,7241.059817809975,6431185703_6c72dd7b5e_z_degraded.jpg,0,person
719,"[['person', 0.46484723687171936], ['person', 0.4144739508628845], ['person', 0.3448697030544281]]",d400bb9a-b6f2-42ea-bee5-4a56bead18ad,yolov8n,"[640, 427]",7241.06,7241.06,147.37,70.29,15.602678571428571,7241.059817809975,6431185703_6c72dd7b5e_z_degraded.jpg,1,person
720,"[['motorcycle', 0.43010422587394714]]",4d48ebe3-79bb-41a0-86ed-e35e564186aa,yolov5n,"[640, 427]",1243.94,1243.94,230.14,30.34,75.1935743559719,1243.9428132275116,5877730305_f5e3d13667_z_degraded.jpg,0,bicycle
721,"[['bicycle', 0.9170405268669128], ['person', 0.7735633850097656]]",4d48ebe3-79bb-41a0-86ed-e35e564186aa,yolov8n,"[640, 427]",1243.94,1243.94,230.14,30.34,75.1935743559719,1243.9428132275116,5877730305_f5e3d13667_z_degraded.jpg,1,bicycle
722,"[['bicycle', 0.5302028059959412]]",9ee5d041-23b6-4717-bdd6-fffe6db72032,yolov5n,"[640, 427]",5501.36,5501.36,183.19,76.42,56.970140515222475,5501.361606178968,5816846412_7b6fa97da0_z_degraded.jpg,1,bicycle
723,"[['bicycle', 0.6705924868583679]]",9ee5d041-23b6-4717-bdd6-fffe6db72032,yolov8n,"[640, 427]",5501.36,5501.36,183.19,76.42,56.970140515222475,5501.361606178968,5816846412_7b6fa97da0_z_degraded.jpg,1,bicycle
724,"[['elephant', 0.3857992887496948]]",451cd269-463f-4c58-bfd4-e277a8863add,yolov5n,"[640, 384]",583.89,583.89,218.73,80.36,69.981689453125,583.8890044291646,9031823026_3e55960d76_z_degraded.jpg,0,dog
725,"[['bear', 0.5109395384788513], ['dog', 0.466480553150177]]",451cd269-463f-4c58-bfd4-e277a8863add,yolov8n,"[640, 384]",583.89,583.89,218.73,80.36,69.981689453125,583.8890044291646,9031823026_3e55960d76_z_degraded.jpg,1,dog
726,"[['cat', 0.4669091999530792]]",689e2a73-bbd9-4a71-b603-3324636955ca,yolov5n,"[640, 427]",911.44,911.44,218.8,22.74,60.724165690866506,911.4391064071372,8213118547_f274c67e93_z_degraded.jpg,1,cat
727,"[['cat', 0.7152296304702759]]",689e2a73-bbd9-4a71-b603-3324636955ca,yolov8n,"[640, 427]",911.44,911.44,218.8,22.74,60.724165690866506,911.4391064071372,8213118547_f274c67e93_z_degraded.jpg,1,cat
728,[],b519ae9a-2482-4b67-ae34-7379ab7ea6dc,yolov5n,"[640, 480]",433.0,433.0,105.88,84.14,67.05468750000001,432.9998781916195,34095624_ce7c705614_z_degraded.jpg,0,dog
729,[],b519ae9a-2482-4b67-ae34-7379ab7ea6dc,yolov8n,"[640, 480]",433.0,433.0,105.88,84.14,67.05468750000001,432.9998781916195,34095624_ce7c705614_z_degraded.jpg,0,dog
730,[],3d40a520-25c9-485c-810e-9cde450c884e,yolov5n,"[640, 481]",564.43,564.43,181.85,79.38,59.45913461538461,564.43466841655,892497288_b916ec820e_z_degraded.jpg,0,person
731,"[['person', 0.6878130435943604], ['person', 0.5064204931259155], ['person', 0.35887467861175537]]",3d40a520-25c9-485c-810e-9cde450c884e,yolov8n,"[640, 481]",564.43,564.43,181.85,79.38,59.45913461538461,564.43466841655,892497288_b916ec820e_z_degraded.jpg,1,person
732,[],1e3b8686-19f3-42bd-976c-573bcb6e528e,yolov5n,"[480, 640]",45.41,45.41,209.73,70.74,25.470052083333332,45.40894159884982,2244176071_615b055c30_z_degraded.jpg,0,cat
733,[],1e3b8686-19f3-42bd-976c-573bcb6e528e,yolov8n,"[480, 640]",45.41,45.41,209.73,70.74,25.470052083333332,45.40894159884982,2244176071_615b055c30_z_degraded.jpg,0,cat
734,"[['person', 0.6266394853591919], ['person', 0.49528953433036804]]",095b41c0-c9cf-475e-8e14-89fe952cacd3,yolov5n,"[640, 427]",3212.9,3212.9,79.89,115.21,49.963041569086656,3212.8959079401825,11132512636_ebb3a6a070_z_degraded.jpg,1,person
735,"[['person', 0.7708739638328552], ['person', 0.7269098162651062], ['person', 0.6916889548301697], ['person', 0.5215405225753784], ['umbrella', 0.3950163424015045]]",095b41c0-c9cf-475e-8e14-89fe952cacd3,yolov8n,"[640, 427]",3212.9,3212.9,79.89,115.21,49.963041569086656,3212.8959079401825,11132512636_ebb3a6a070_z_degraded.jpg,1,person
736,[],f0167d4e-8f9e-40a7-a723-4e94ce722337,yolov5n,"[640, 472]",167.37,167.37,110.09,52.63,55.44061175847457,167.36623989981913,19283436_772222a19e_z_degraded.jpg,0,dog
737,[],f0167d4e-8f9e-40a7-a723-4e94ce722337,yolov8n,"[640, 472]",167.37,167.37,110.09,52.63,55.44061175847457,167.36623989981913,19283436_772222a19e_z_degraded.jpg,0,dog
738,"[['person', 0.42244186997413635]]",2869d794-8356-4400-a7d3-1369bca2313d,yolov5n,"[640, 541]",234.04,234.04,83.06,139.14,37.811633548983366,234.04207070979027,6309741882_b074ee1a96_z_degraded.jpg,1,person
739,"[['person', 0.7782448530197144], ['elephant', 0.4600948691368103]]",2869d794-8356-4400-a7d3-1369bca2313d,yolov8n,"[640, 541]",234.04,234.04,83.06,139.14,37.811633548983366,234.04207070979027,6309741882_b074ee1a96_z_degraded.jpg,1,person
740,[],d1cc558c-9445-4ef0-af6d-be008616a3fa,yolov5n,"[640, 480]",2428.09,2428.09,181.8,128.02,22.571940104166664,2428.087861082459,6113997729_5f5ac02209_z_degraded.jpg,0,dog
741,"[['dog', 0.34132131934165955]]",d1cc558c-9445-4ef0-af6d-be008616a3fa,yolov8n,"[640, 480]",2428.09,2428.09,181.8,128.02,22.571940104166664,2428.087861082459,6113997729_5f5ac02209_z_degraded.jpg,1,dog
742,[],9e160463-8b3f-4e7b-9a9b-5115d6809c9d,yolov5n,"[639, 428]",397.77,397.77,206.31,31.45,50.60440524768549,397.7675893750921,13073061203_f7d640a8b3_z_degraded.jpg,0,dog
743,"[['dog', 0.6412168145179749], ['bed', 0.4929060935974121]]",9e160463-8b3f-4e7b-9a9b-5115d6809c9d,yolov8n,"[639, 428]",397.77,397.77,206.31,31.45,50.60440524768549,397.7675893750921,13073061203_f7d640a8b3_z_degraded.jpg,1,dog
744,"[['truck', 0.48273390531539917]]",dc8abb23-b209-408f-b964-4bcc7f1f590d,yolov5n,"[640, 480]",2984.46,2984.46,199.39,44.96,49.544921875,2984.45529656549,3679100484_a8e3044e55_z_degraded.jpg,0,car
745,"[['truck', 0.7368886470794678]]",dc8abb23-b209-408f-b964-4bcc7f1f590d,yolov8n,"[640, 480]",2984.46,2984.46,199.39,44.96,49.544921875,2984.45529656549,3679100484_a8e3044e55_z_degraded.jpg,0,car
746,[],65e24462-cbf2-4936-9881-73e3c077d7eb,yolov5n,"[640, 423]",782.89,782.89,191.11,145.19,6.732047872340425,782.8882330412832,31792151_e1e4c47427_z_degraded.jpg,0,cat
747,"[['cat', 0.802118182182312], ['cat', 0.38020551204681396]]",65e24462-cbf2-4936-9881-73e3c077d7eb,yolov8n,"[640, 423]",782.89,782.89,191.11,145.19,6.732047872340425,782.8882330412832,31792151_e1e4c47427_z_degraded.jpg,1,cat
748,"[['bicycle', 0.5302028059959412]]",b0be3d8a-45f3-4f24-a1c2-b1ac84281c46,yolov5n,"[640, 427]",5501.36,5501.36,183.19,76.42,56.970140515222475,5501.361606178968,5816846412_7b6fa97da0_z_degraded.jpg,1,bicycle
749,"[['bicycle', 0.6705924868583679]]",b0be3d8a-45f3-4f24-a1c2-b1ac84281c46,yolov8n,"[640, 427]",5501.36,5501.36,183.19,76.42,56.970140515222475,5501.361606178968,5816846412_7b6fa97da0_z_degraded.jpg,1,bicycle
750,"[['truck', 0.27034714818000793], ['car', 0.2636929452419281]]",86c49865-525b-4001-b4fd-db496cba0b1f,yolov5n,"[640, 640]",2557.87,2557.87,121.8,84.81,40.025634765625,2557.8682043569033,16982913298_aa90f2a62b_z_degraded.jpg,1,car
751,"[['car', 0.5797562003135681], ['car', 0.49328678846359253], ['car', 0.29625147581100464]]",86c49865-525b-4001-b4fd-db496cba0b1f,yolov8n,"[640, 640]",2557.87,2557.87,121.8,84.81,40.025634765625,2557.8682043569033,16982913298_aa90f2a62b_z_degraded.jpg,1,car
752,"[['person', 0.3635287880897522]]",7c48bbf3-a7aa-4ef9-8375-957fad20ab53,yolov5n,"[640, 427]",509.74,509.74,186.67,140.62,32.38656323185012,509.7385240545592,15983066535_629c335c63_z_degraded.jpg,1,person
753,"[['person', 0.9170989990234375]]",7c48bbf3-a7aa-4ef9-8375-957fad20ab53,yolov8n,"[640, 427]",509.74,509.74,186.67,140.62,32.38656323185012,509.7385240545592,15983066535_629c335c63_z_degraded.jpg,1,person
754,"[['person', 0.8720066547393799], ['motorcycle', 0.421465665102005]]",96e6654c-8f1b-4229-91d1-c52549f476ff,yolov5n,"[640, 480]",1581.52,1581.52,199.15,51.14,59.300130208333336,1581.5236493447198,5971377496_abc7d794c7_z_degraded.jpg,0,bicycle
755,"[['person', 0.8462710976600647], ['bicycle', 0.7035359144210815], ['bicycle', 0.3608153760433197]]",96e6654c-8f1b-4229-91d1-c52549f476ff,yolov8n,"[640, 480]",1581.52,1581.52,199.15,51.14,59.300130208333336,1581.5236493447198,5971377496_abc7d794c7_z_degraded.jpg,1,bicycle
756,[],cc15690f-a420-4baa-a7bd-84cbea769802,yolov5n,"[640, 480]",1783.62,1783.62,188.49,31.92,49.78873697916667,1783.6214723378396,1492095547_3a48dbc70b_z_degraded.jpg,0,cat
757,"[['bear', 0.4067455530166626]]",cc15690f-a420-4baa-a7bd-84cbea769802,yolov8n,"[640, 480]",1783.62,1783.62,188.49,31.92,49.78873697916667,1783.6214723378396,1492095547_3a48dbc70b_z_degraded.jpg,0,cat
758,[],e2b97912-b31e-447a-96ee-4b9b58f0c9c2,yolov5n,"[639, 472]",861.41,861.41,128.52,173.46,16.100368690485663,861.4056592156699,258460789_c4baeb300a_z_degraded.jpg,0,cat
759,"[['cat', 0.8662283420562744], ['cat', 0.6916358470916748]]",e2b97912-b31e-447a-96ee-4b9b58f0c9c2,yolov8n,"[639, 472]",861.41,861.41,128.52,173.46,16.100368690485663,861.4056592156699,258460789_c4baeb300a_z_degraded.jpg,1,cat
760,"[['person', 0.7776414155960083], ['person', 0.6624594330787659], ['person', 0.6223786473274231], ['person', 0.5377052426338196], ['tie', 0.39287903904914856]]",f7f07cb5-edd5-432f-b702-15a24eef5dac,yolov5n,"[503, 640]",4740.25,4740.25,138.52,73.48,43.45272117296222,4740.248793823547,14507981482_c50d893620_z_degraded.jpg,1,person
761,"[['person', 0.8717184066772461], ['person', 0.8119859099388123], ['person', 0.8020698428153992], ['tie', 0.6706491112709045], ['person', 0.6572398543357849], ['tie', 0.6531630158424377], ['person', 0.6213061213493347], ['person', 0.5341522097587585], ['person', 0.5100433230400085], ['person', 0.4867459535598755], ['tie', 0.459789514541626], ['tie', 0.33543097972869873], ['tie', 0.3169245719909668], ['tie', 0.31273290514945984], ['tie', 0.25569090247154236]]",f7f07cb5-edd5-432f-b702-15a24eef5dac,yolov8n,"[503, 640]",4740.25,4740.25,138.52,73.48,43.45272117296222,4740.248793823547,14507981482_c50d893620_z_degraded.jpg,1,person
762,[],7f238344-645b-446c-8797-be08f707a486,yolov5n,"[640, 468]",3295.4,3295.4,159.67,104.92,49.299212072649574,3295.3995427583973,4597825116_8ec71a76cf_z_degraded.jpg,0,car
763,"[['car', 0.7640196084976196], ['car', 0.25662145018577576]]",7f238344-645b-446c-8797-be08f707a486,yolov8n,"[640, 468]",3295.4,3295.4,159.67,104.92,49.299212072649574,3295.3995427583973,4597825116_8ec71a76cf_z_degraded.jpg,1,car
764,"[['elephant', 0.5644475817680359], ['person', 0.3413843810558319]]",892e5cd3-1fbe-4cab-bc21-8c8cd85f2eeb,yolov5n,"[640, 491]",5301.69,5301.69,125.19,98.2,15.077965885947048,5301.688391803876,2433596596_377bb91619_z_degraded.jpg,0,dog
765,"[['person', 0.7922444939613342]]",892e5cd3-1fbe-4cab-bc21-8c8cd85f2eeb,yolov8n,"[640, 491]",5301.69,5301.69,125.19,98.2,15.077965885947048,5301.688391803876,2433596596_377bb91619_z_degraded.jpg,0,dog
766,"[['person', 0.7355097532272339], ['person', 0.582628071308136], ['person', 0.5353050231933594], ['person', 0.5018552541732788], ['person', 0.4413800537586212], ['person', 0.3450734317302704], ['person', 0.3181552290916443], ['person', 0.2753930389881134]]",c8b78dbd-4376-4e6d-916e-5ddfb8ddbbcf,yolov5n,"[640, 425]",14185.4,14185.4,153.74,83.37,51.665073529411764,14185.404277818123,8634899263_5ce2555806_z_degraded.jpg,0,car
767,"[['person', 0.8157252669334412], ['person', 0.6807944774627686], ['person', 0.6770163774490356], ['person', 0.5077839493751526], ['person', 0.49506691098213196], ['person', 0.46019506454467773], ['person', 0.2822464108467102]]",c8b78dbd-4376-4e6d-916e-5ddfb8ddbbcf,yolov8n,"[640, 425]",14185.4,14185.4,153.74,83.37,51.665073529411764,14185.404277818123,8634899263_5ce2555806_z_degraded.jpg,0,car
768,"[['person', 0.8060166239738464], ['person', 0.2557673454284668]]",b5d9b6e0-8af3-4184-8d82-e709d780549b,yolov5n,"[428, 640]",2316.88,2316.88,162.12,56.94,33.466705607476634,2316.8760490398827,7742706992_27215ef7f8_z_degraded.jpg,1,person
769,"[['person', 0.8708670139312744], ['person', 0.5808813571929932], ['person', 0.5499634146690369], ['person', 0.531308650970459], ['person', 0.32386544346809387]]",b5d9b6e0-8af3-4184-8d82-e709d780549b,yolov8n,"[428, 640]",2316.88,2316.88,162.12,56.94,33.466705607476634,2316.8760490398827,7742706992_27215ef7f8_z_degraded.jpg,1,person
770,[],8620764b-368f-4436-8016-89efdaae3992,yolov5n,"[640, 427]",7241.06,7241.06,147.37,70.29,15.602678571428571,7241.059817809975,6431185703_6c72dd7b5e_z_degraded.jpg,0,person
771,"[['person', 0.46484723687171936], ['person', 0.4144739508628845], ['person', 0.3448697030544281]]",8620764b-368f-4436-8016-89efdaae3992,yolov8n,"[640, 427]",7241.06,7241.06,147.37,70.29,15.602678571428571,7241.059817809975,6431185703_6c72dd7b5e_z_degraded.jpg,1,person
772,"[['motorcycle', 0.43266698718070984]]",4437cd12-f5da-4ad4-b9f4-2ebc15c9bfa1,yolov5n,"[640, 428]",3988.61,3988.61,171.01,71.25,52.22984813084112,3988.6093675857915,5763085728_cd042a4cb0_z_degraded.jpg,0,car
773,"[['car', 0.7522945404052734]]",4437cd12-f5da-4ad4-b9f4-2ebc15c9bfa1,yolov8n,"[640, 428]",3988.61,3988.61,171.01,71.25,52.22984813084112,3988.6093675857915,5763085728_cd042a4cb0_z_degraded.jpg,1,car
774,"[['bear', 0.3521501421928406]]",47514d79-e3f3-4ae2-b7ad-bff0ca8dbf94,yolov5n,"[640, 550]",1361.79,1361.79,192.97,108.77,32.47159090909091,1361.7871551136045,204668081_9bb000df17_z_degraded.jpg,0,dog
775,"[['bear', 0.5913020372390747]]",47514d79-e3f3-4ae2-b7ad-bff0ca8dbf94,yolov8n,"[640, 550]",1361.79,1361.79,192.97,108.77,32.47159090909091,1361.7871551136045,204668081_9bb000df17_z_degraded.jpg,0,dog
776,[],f987c5da-717f-46eb-a253-ffe04f6ce2b0,yolov5n,"[478, 640]",4873.07,4873.07,190.39,120.14,30.497842573221757,4873.070555339592,5826499075_8c91ec270b_z_degraded.jpg,0,person
777,[],f987c5da-717f-46eb-a253-ffe04f6ce2b0,yolov8n,"[478, 640]",4873.07,4873.07,190.39,120.14,30.497842573221757,4873.070555339592,5826499075_8c91ec270b_z_degraded.jpg,0,person
778,"[['car', 0.324235200881958]]",0330a2a8-7823-46b9-814c-9fefd47d97f4,yolov5n,"[640, 480]",4870.82,4870.82,186.6,65.04,48.479166666666664,4870.823034798133,8125475_d0a1063029_z_degraded.jpg,1,car
779,"[['car', 0.9376852512359619], ['car', 0.5380821228027344], ['car', 0.44800055027008057], ['truck', 0.44259390234947205], ['car', 0.424844890832901], ['car', 0.4154791235923767], ['car', 0.3599802255630493], ['car', 0.3562465310096741], ['car', 0.3129514455795288], ['car', 0.26964646577835083], ['car', 0.2522064745426178]]",0330a2a8-7823-46b9-814c-9fefd47d97f4,yolov8n,"[640, 480]",4870.82,4870.82,186.6,65.04,48.479166666666664,4870.823034798133,8125475_d0a1063029_z_degraded.jpg,1,car
780,[],029ea46b-b79d-4948-b159-fa01ae3005ee,yolov5n,"[640, 384]",8190.63,8190.63,180.39,88.01,57.588297526041664,8190.630493149161,5336089950_d2f4618519_z_degraded.jpg,0,car
781,"[['boat', 0.8044033646583557]]",029ea46b-b79d-4948-b159-fa01ae3005ee,yolov8n,"[640, 384]",8190.63,8190.63,180.39,88.01,57.588297526041664,8190.630493149161,5336089950_d2f4618519_z_degraded.jpg,0,car
782,"[['snowboard', 0.2748750150203705]]",c2458460-bf6f-4707-b8f5-59b6c1e81525,yolov5n,"[640, 427]",472.45,472.45,139.18,163.37,10.036226580796253,472.4450525798746,11101898274_dcf6061b20_z_degraded.jpg,0,cat
783,"[['bird', 0.36235639452934265]]",c2458460-bf6f-4707-b8f5-59b6c1e81525,yolov8n,"[640, 427]",472.45,472.45,139.18,163.37,10.036226580796253,472.4450525798746,11101898274_dcf6061b20_z_degraded.jpg,0,cat
784,"[['person', 0.5208746790885925], ['person', 0.36441516876220703]]",1684382a-5f19-4631-b475-c8df10331ebc,yolov5n,"[639, 421]",2190.52,2190.52,175.64,95.93,37.068757225326095,2190.520094729812,5943858783_a2cc450fb3_z_degraded.jpg,1,person
785,"[['person', 0.9200646877288818], ['person', 0.7894805073738098], ['person', 0.7591769695281982], ['person', 0.7586870789527893]]",1684382a-5f19-4631-b475-c8df10331ebc,yolov8n,"[639, 421]",2190.52,2190.52,175.64,95.93,37.068757225326095,2190.520094729812,5943858783_a2cc450fb3_z_degraded.jpg,1,person
786,"[['bear', 0.4332317113876343]]",6b5d462d-4790-4077-a063-5bea0e92af0f,yolov5n,"[640, 427]",368.99,368.99,116.34,48.14,29.661885245901644,368.9915690552512,3291298501_9a8eed3fa0_z_degraded.jpg,0,dog
787,[],6b5d462d-4790-4077-a063-5bea0e92af0f,yolov8n,"[640, 427]",368.99,368.99,116.34,48.14,29.661885245901644,368.9915690552512,3291298501_9a8eed3fa0_z_degraded.jpg,0,dog
788,"[['person', 0.5680660009384155]]",b0deab1a-2b1d-48e8-b86c-a162642ad51b,yolov5n,"[640, 480]",9575.86,9575.86,183.97,53.82,51.32324218749999,9575.862798405584,18608021442_84f7dcfa5c_z_degraded.jpg,0,bicycle
789,"[['person', 0.7358121871948242], ['clock', 0.2619348466396332]]",b0deab1a-2b1d-48e8-b86c-a162642ad51b,yolov8n,"[640, 480]",9575.86,9575.86,183.97,53.82,51.32324218749999,9575.862798405584,18608021442_84f7dcfa5c_z_degraded.jpg,0,bicycle
790,"[['bicycle', 0.39313045144081116], ['person', 0.3488258123397827], ['person', 0.2704751491546631]]",32bc78df-15e8-4b9d-8e81-e72358ff144d,yolov5n,"[640, 427]",10410.51,10410.51,187.04,125.02,36.83072306791569,10410.511576579063,9141188655_328b195d8d_z_degraded.jpg,1,bicycle
791,"[['person', 0.8140439391136169], ['bicycle', 0.7916126847267151]]",32bc78df-15e8-4b9d-8e81-e72358ff144d,yolov8n,"[640, 427]",10410.51,10410.51,187.04,125.02,36.83072306791569,10410.511576579063,9141188655_328b195d8d_z_degraded.jpg,1,bicycle
792,"[['dog', 0.5117371082305908]]",78d15999-5a97-4414-8f25-90947d9203b5,yolov5n,"[640, 383]",387.29,387.29,193.13,62.32,2.685623368146214,387.2880696509175,5381237016_f49e86b880_z_degraded.jpg,1,dog
793,"[['skis', 0.4435947835445404]]",78d15999-5a97-4414-8f25-90947d9203b5,yolov8n,"[640, 383]",387.29,387.29,193.13,62.32,2.685623368146214,387.2880696509175,5381237016_f49e86b880_z_degraded.jpg,0,dog
